,Title,published_date,views,favoriteCount,likeCount,commentCount,month
68,What if I wrote a song with Charlie Puth and copied his Tiktok style?,2022-05-18,160735,0,13497,216,May
69,John Legend  - Dope (feat. JID) (Official Lyric Video),2022-05-18,312727,0,8094,238,May
70,John Legend  Love In Las Vegas The Residency,2022-04-26,51949,0,909,49,Apr
71,John Legend -  Free (Official Lyric Video),2022-04-03,251936,0,7228,305,Apr
72,Testing the waters… (Dope with Charlie Puth),2022-03-23,56525,0,4036,75,Mar
73,Why Does Music Make Us Emotional? | Music on My Mind with John Legend & Headspace,2022-02-23,17689,0,1681,59,Feb
74,"John Legend, Nas, Florian Picasso - Tomorrow (Official Audio)",2022-02-04,466590,0,9752,290,Feb
75,Trailer Talk - Season 2 Ep. 16 - Chris Martin,2022-01-13,27025,0,1943,62,Jan
76,Trailer Talk - Season 2 Ep. 15 - Carrie Underwood,2022-01-13,68220,0,1818,42,Jan
77,John Legend - Love in Las Vegas The Residency,2021-12-06,102997,0,2638,75,Dec
78,John Legend - You Deserve It All (Official Music Video),2021-12-01,46793251,0,144571,2739,Dec
79,John Legend - You Deserve It All (Official Lyric Video),2021-11-11,433562,0,10480,387,Nov
80,John Legend - Bigger Love Global Experience,2021-10-19,40057,0,2096,52,Oct
81,John Legend LVE Rosé Garden Party,2021-09-22,26203,0,1739,38,Sep
82,John Legend Bigger Love Tour,2021-09-15,52106,0,2420,141,Sep
83,John Legend - Crowd Go Crazy (Official Lyric Video),2021-08-03,231727,0,5107,173,Aug
84,"Trailer Talk - Olympics Special Ep. 14 - Noah Lyles, Sandi Morris",2021-07-30,13294,0,1426,22,Jul
85,Trailer Talk - Season 2 Ep. 13 - Victor Solomon,2021-05-25,22810,0,1670,81,May
86,Trailer Talk - Season 2 Ep. 12 - Snoop Dogg,2021-04-26,23254,0,1922,100,Apr
87,Trailer Talk - Season 2 Ep. 11 - John Holiday,2021-04-20,17548,0,1546,22,Apr
88,"Trailer Talk - Season 2 Ep. 10 - Gwen Stefani, Blake Shelton, Kelly Clarkson",2021-04-20,24652,0,1832,39,Apr
89,Trailer Talk with John Legend - Season 2 Ep. 9 - Usher,2021-04-20,15246,0,580,48,Apr
90,The Effects of Music on Memory | Music on My Mind with John Legend & Headspace,2021-03-25,24753,0,671,54,Mar
91,Boost Energy or Go to Bed | Music on My Mind with John Legend & Headspace,2021-03-18,19171,0,623,69,Mar
92,The Science Behind Workout Music | Music on my Mind with John Legend & Headspace,2021-03-11,18476,0,1719,35,Mar
93,Music and Stress Relief | Music on my Mind with John Legend & Headspace,2021-03-04,25708,0,840,58,Mar
94,How Focus Music Works | Music on My Mind with John Legend & Headspace,2021-02-25,27129,0,1965,50,Feb
95,John Legend - Conversations In The Dark (Live),2021-02-11,412648,0,11846,385,Feb
96,How Does Music Affect the Brain? | Music on My Mind with John Legend & Headspace,2021-02-11,29189,0,2192,52,Feb
97,Legendary Christmas Tales: Favorite Original Christmas Songs,2020-12-20,48659,0,2422,72,Dec
98,Legendary Christmas Tales: Favorite Holiday Songs,2020-12-19,20466,0,935,57,Dec
99,John Legend - Purple Snowflakes (Yule Log Video),2020-12-18,37175,0,1862,39,Dec
100,Have Yourself a Merry Little Christmas (Yule Log Video),2020-12-18,83776,0,969,22,Dec
101,John Legend - No Place Like Home (Yule Log Video),2020-12-18,26494,0,316,20,Dec
102,John Legend - The Christmas Song (Chestnuts Roasting On An Open Fire) (Yule Log Video),2020-12-18,56781,0,398,18,Dec
103,John Legend - Merry Merry Christmas (Yule Log Video),2020-12-18,9131,0,190,14,Dec
104,John Legend - Waiting for Christmas (Yule Log Video),2020-12-18,29474,0,262,26,Dec
105,John Legend - Merry Christmas Baby / Give Love on Christmas Day (Yule Log Video),2020-12-18,24902,0,174,7,Dec
106,John Legend - Christmas In New Orleans (Yule Log Video),2020-12-18,66865,0,320,9,Dec
107,John Legend - This Christmas (Yule Log Video),2020-12-18,92731,0,245,9,Dec
108,John Legend - My Favorite Things (Yule Log Video),2020-12-18,42328,0,324,3,Dec
109,John Legend - Wrap Me Up in Your Love (Yule Log Video),2020-12-18,26960,0,199,12,Dec
110,"John Legend - Baby, It's Cold Outside (Yule Log Video) ft. Kelly Clarkson",2020-12-18,92990,0,727,126,Dec
111,John Legend - What Christmas Means to Me (Yule Log Video) ft. Stevie Wonder,2020-12-18,10403,0,207,5,Dec
112,John Legend - Silver Bells (Yule Log Video),2020-12-18,8172,0,170,9,Dec
113,John Legend - Bring Me Love (Yule Log Video),2020-12-18,126972,0,1046,16,Dec
114,John Legend - Please Come Home For Christmas (Yule Log Video),2020-12-18,13131,0,679,59,Dec
115,John Legend - By Christmas Eve (Yule Log Video),2020-12-18,81737,0,1275,57,Dec
116,John Legend - Happy Xmas (War Is Over) (Yule Log Video),2020-12-18,20055,0,727,51,Dec
117,Legendary Christmas Tales - Christmas Traditions,2020-12-18,7193,0,741,48,Dec
118,Legendary Christmas Tales - The Best Gift,2020-12-17,33005,0,1096,78,Dec
119,John Legend - Happy Xmas (War Is Over) (Official Animated Video),2020-12-11,297576,0,4543,370,Dec
120,"John Legend, Common - Glory (Joe Biden Rally in Philadelphia)",2020-11-07,169644,0,7203,595,Nov
121,John Legend - Happy Xmas (War Is Over) (Official Audio),2020-11-06,321216,0,6700,400,Nov
122,John Legend - Wild (MEDUZA Remix - Official Audio),2020-09-18,839363,0,12787,234,Sep
123,John Legend - Wild - Behind the Scenes,2020-08-18,121866,0,3601,125,Aug
124,John Legend Live Stream,2020-08-14,0,0,0,0,Aug
125,John Legend - Wild (Live Premiere),2020-08-13,292988,0,6802,271,Aug
126,John Legend - Wild (feat. Gary Clark Jr.) (Official Video),2020-08-13,15653090,0,283543,6961,Aug
127,John Legend - Bigger Love (Remix) [feat. Mau y Ricky] [Lyric Video],2020-07-24,331547,0,7687,225,Jul
128,John Legend LIVE - A Night For “Bigger Love” Presented by Wave,2020-06-25,796722,0,6423,205,Jun
129,John Legend - Never Break (Official Lyric Video),2020-06-19,1300530,0,37394,1002,Jun
130,"John Legend, Rapsody - Remember Us (Official Audio)",2020-06-19,567520,0,7151,220,Jun
131,"John Legend - U Move, I Move (Official Audio) ft. Jhene Aiko",2020-06-19,14465395,0,185082,2780,Jun
132,John Legend - Always (Official Audio),2020-06-19,325991,0,3826,98,Jun
133,John Legend - I Do (Official Audio),2020-06-19,931175,0,9771,253,Jun
134,John Legend - Slow Cooker (Official Audio),2020-06-19,696674,0,6725,190,Jun
135,John Legend - I'm Ready (Official Audio) ft. Camper,2020-06-19,274360,0,2467,83,Jun
136,"John Legend, Gary Clark Jr. - Wild (Official Audio)",2020-06-19,1115368,0,11706,222,Jun
137,John Legend - Never Break (Official Audio),2020-06-19,1447800,0,21671,560,Jun
138,John Legend - Ooh Laa (Official Audio),2020-06-19,1922795,0,21349,483,Jun
139,John Legend - Don't Walk Away (Official Audio) ft. Koffee,2020-06-19,1873623,0,42382,1308,Jun
140,John Legend - Favorite Place (Official Audio),2020-06-19,512113,0,5566,130,Jun
141,John Legend - One Life (Official Audio),2020-06-19,655265,0,6141,137,Jun
142,John Legend - Focused (Official Audio),2020-06-19,332380,0,4434,143,Jun
143,John Legend - Bigger Love (Official Video),2020-05-13,2564307,0,47092,926,May
144,John Legend - #StayHome & Sing #WithMe (Live Performance),2020-05-02,210885,0,7024,327,May
145,John Legend - When You Can Fly ((Official Video) [from Crow: The Legend]),2020-04-30,153089,0,4488,121,Apr
146,John Legend - Bigger Love (Official Lyric Video),2020-04-24,148376,0,5552,179,Apr
147,John Legend - Bigger Love [One World: #TogetherAtHome],2020-04-19,302387,0,6369,225,Apr
148,John Legend - Bigger Love (Official Audio),2020-04-17,587306,0,12991,343,Apr
149,"Kane Brown, John Legend - Last Time I Say Sorry (Audio)",2020-03-30,41980,0,1831,56,Mar
150,John Legend - Actions (Official Lyric Video),2020-03-20,2048618,0,24019,494,Mar
151,John Legend - #TogetherAtHome Concert Series,2020-03-18,1446662,0,31912,1975,Mar
152,"John Legend - Elizabeth Warren Rally - Charleston, SC",2020-02-28,17390,0,703,79,Feb
153,Conversations in the Dark (John Legend & Lindsey Stirling - Official Audio),2020-02-14,424875,0,10008,161,Feb
154,All of Me (John Legend & Lindsey Stirling - Official Audio),2020-02-14,162348,0,3347,118,Feb
155,Conversations in the Dark (John Legend vs. David Guetta - Official Audio),2020-02-14,904421,0,10115,147,Feb
156,John Legend - Conversations in the Dark (Official Video),2020-01-10,32739047,0,423318,6123,Jan
157,John Legend - Conversations in the Dark (Official Audio),2020-01-10,2701935,0,69575,904,Jan
158,Trailer Talk with John Legend - Season 2 Ep. 8 - Alesha Dixon,2020-01-07,18933,0,547,48,Jan
159,Trailer Talk with John Legend - Season 2 Ep. 7 - Katie Kadan,2019-12-17,14352,0,479,46,Dec
160,Trailer Talk with John Legend - Season 2 Ep. 6 - Luis Fonsi,2019-12-13,9583,0,354,20,Dec
161,Trailer Talk with John Legend - Season 2 Ep. 5 - Kane Brown,2019-12-03,20687,0,564,35,Dec
162,Trailer Talk with John Legend - Season 2 Ep. 4 - Former Sexiest Man Alive Blake Shelton,2019-12-02,12375,0,433,35,Dec
163,"John Legend - Baby, It's Cold Outside (Lyric Video) ft. Kelly Clarkson",2019-11-14,1170186,0,10255,1167,Nov
164,John Legend - Christmas In New Orleans (Official Audio),2019-11-08,279150,0,1554,65,Nov
165,"John Legend - Baby, It's Cold Outside (Official Audio) ft. Kelly Clarkson",2019-11-08,2347790,0,16603,6075,Nov
166,John Legend - My Favorite Things (Official Audio),2019-11-08,254322,0,1635,59,Nov
167,John Legend - This Christmas (Official Audio),2019-11-08,861136,0,4670,134,Nov
168,Trailer Talk with John Legend - Season 2 Ep. 3 - Lilly Singh,2019-10-23,12854,0,627,33,Oct
169,Trailer Talk with John Legend - Season 2 Ep. 2 - Terry Crews,2019-10-02,13142,0,577,47,Oct
170,"Trailer Talk with John Legend - Season 2 Ep. 1 - Blake Shelton, Kelly Clarkson, & Gwen Stefani",2019-10-02,25980,0,923,60,Oct
171,John Legend - Oh Pitera ft. SK-II Pitera Essence (Official Video),2019-06-28,70145,0,3269,144,Jun
172,Trailer Talk with John Legend - Episode 8 - Will.i.am,2019-06-03,14690,0,651,51,Jun
173,Trailer Talk with John Legend - Episode 7 - Darius Rucker,2019-05-22,13020,0,555,39,May
174,"Trailer Talk with John Legend - Episode 6 - Ester Dean, Ryan Tedder, & Shane McAnally",2019-05-21,13025,0,515,32,May
175,Trailer Talk with John Legend - Episode 5 - Maelyn Jarmon,2019-05-16,17512,0,742,56,May
176,Trailer Talk with John Legend - Episode 4 - Chrissy Teigen,2019-05-08,27285,0,785,47,May
177,Trailer Talk with John Legend - Episode 3 - Fan Week,2019-05-08,15273,0,718,52,May
178,Trailer Talk with John Legend - Episode 2 - Kelly Clarkson,2019-05-08,105037,0,3267,163,May
179,Trailer Talk with John Legend - Episode 1 - Blake Shelton,2019-05-08,65541,0,1174,68,May
180,Can't Just Preach: Jaclyn Corin,2019-04-16,17302,0,747,31,Apr
181,Can't Just Preach: Isa Noyola,2019-04-09,13637,0,580,29,Apr
182,"John Legend - The Best of Enemies ""PREACH"" (Lyric Video)",2019-03-29,29704,0,2125,93,Mar
183,Can't Just Preach: Efrén Olivares,2019-03-22,15671,0,696,33,Mar
184,John Legend - Preach (Piano Version),2019-03-12,2068947,0,28582,534,Mar
185,Can't Just Preach: Desmond Meade,2019-03-08,27077,0,718,38,Mar
186,Can't Just Preach: Sybrina Fulton,2019-02-27,32897,0,838,49,Feb
187,John Legend - Preach - Behind the Scenes,2019-02-22,65040,0,2467,135,Feb
188,John Legend - Preach (Official Video),2019-02-15,40979333,0,738330,12477,Feb
189,John Legend - It Don't Have to Change (Live from A Legendary Christmas),2018-12-21,459310,0,7945,312,Dec
190,John Legend - Wrap Me Up In Your Love (Official Yule Log),2018-12-20,44187,0,413,16,Dec
191,John Legend - Silver Bells (Official Yule Log),2018-12-20,98935,0,519,13,Dec
192,John Legend - Bring Me Love (Official Yule Log),2018-12-20,72872,0,1249,65,Dec
193,John Legend - Christmas Time Is Here (Official Yule Log),2018-12-20,45665,0,309,11,Dec
194,John Legend - Merry Merry Christmas (Official Yule Log),2018-12-20,58014,0,335,12,Dec
